id;especialidad;descripcion;email
1;Inmunología-Reumatología-Alergias;-;innap@innap.net
2;Medicina Familiar;-;innap@innap.net
3;Medicina Interna;-;innap@innap.net
4;Neurología;-;innap@innap.net
5;Neurocirugía;-;innap@innap.net
6;Neuro Ortopedia;-;innap@innap.net
7;Neuropediatría;-;innap@innap.net
8;Neuropsucología;-;innap@innap.net
9;Neurorehabilitación;-;innap@innap.net
10;Neuropsiquiatría;-;innap@innap.net
11;Nutrición;-;innap@innap.net
12;Psicología;-;innap@innap.net
13;Psicología Escolar;-;innap@innap.net
14;Psiquiatría Infantil;-;innap@innap.net
15;Psiquiatría Adultos;-;innap@innap.net
16;Terapia Ocupacional;-;innap@innap.net
17;Traumatología;-;innap@innap.net

